"id";"name";"link";"visited"
96;"Spartan Gym And Fitness";"http://www.justdial.com/Delhi/Spartan-Gym-And-Fitness-<near>-Above-Reliance-Fresh-Mayur-Vihar-Phase-I/011PF012818_BZDET?xid=RGVsaGkgR3ltcw==";"1"
97;"Sweat Gym & Personal Trainer";"http://www.justdial.com/Delhi/Sweat-Gym-Personal-Trainer-<near>-Near-Bengali-Sweets-And-Opposite-B-50-South-Extension-1/011PXX11-XX11-110222172742-L8Y5_BZDET?xid=RGVsaGkgR3ltcw==";"1"
98;"Bomiso Gym & Spa";"http://www.justdial.com/Delhi/Bomiso-Gym-Spa-<near>-Opposite-Malibu-Town-Gurgaon-Sector-50/011PXX11-XX11-150206123248-A4G4_BZDET?xid=RGVsaGkgR3ltcw==";"1"
99;"Fitness Finesse";"http://www.justdial.com/delhi/Fitness-Finesse-<near>-Opposite-Deshbandhu-Appartment-Gate-2-C-R-Park/011PXX11-XX11-121215132616-K5M1_BZDET?xid=RGVsaGkgR3ltcw==";"1"
100;"Adonis Gym";"http://www.justdial.com/Delhi/Adonis-Gym-<near>-Vikaspuri/011PXX11-XX11-140220113945-U6B8_BZDET?xid=RGVsaGkgR3ltcw==";"1"
102;"Gymnasium A Complete Fitnes...";"http://www.justdial.com/Delhi/Gymnasium-A-Complete-Fitness-Centre-<near>-Near-K-Block-Down-Stair-ICICI-Bank-Kalkaji/011PXX11-XX11-130219155138-X1V5_BZDET?xid=RGVsaGkgR3ltcw==";"1"
104;"Oxide Gym";"http://www.justdial.com/Delhi/Oxide-Gym-<near>-Opposite-Naravana-Apartment-Madhu-Vihar-Patparganj/011PXX11-XX11-130701123204-L7T2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
105;"Platinum Gym & Aerobics";"http://www.justdial.com/Delhi/Platinum-Gym-Aerobics-<near>-Near-Central-Market-Lajpat-Nagar-2-lajpat-Nagar/011P1228901457L6G9X9_BZDET?xid=RGVsaGkgR3ltcw==";"1"
106;"SFL Fitness";"http://www.justdial.com/Delhi/SFL-Fitness-<near>-Opposite-Tdi-Paragon-Mall-Wave-Cinema-Rajouri-Garden/011PXX11-XX11-150803170917-S7Z6_BZDET?xid=RGVsaGkgR3ltcw==";"1"
108;"Stylish Body Line";"http://www.justdial.com/Delhi/Stylish-Body-Line-<near>-Near-Queens-Valley-School-Dwarka-Sector-8/011PXX11-XX11-141014143431-S4V4_BZDET?xid=RGVsaGkgR3ltcw==";"1"
109;"Adorn Fitness Planet";"http://www.justdial.com/Delhi/Adorn-Fitness-Planet-<near>-Opposite-Bhikaji-Kama-Place-Safdarjung-Enclave/011PXX11-XX11-140816120914-R1C4_BZDET?xid=RGVsaGkgR3ltcw==";"1"
118;"Absolutions Fitness Company";"http://www.justdial.com/Delhi/Absolutions-Fitness-Company-<near>-Dlf-City-Phase-IV-Gurgaon/011PXX11-XX11-130612120644-I9X4_BZDET?xid=RGVsaGkgR3ltcw==";"1"
119;"Maxx Fitness Centre";"http://www.justdial.com/Delhi/Maxx-Fitness-Centre-<near>-Near-Hanuman-Mandir-Shakarpur/011PXX11-XX11-091107093924-Y5V1_BZDET?xid=RGVsaGkgR3ltcw==";"1"
120;"O Two Gym N Spa";"http://www.justdial.com/Delhi/O-Two-Gym-N-Spa-<near>-Sushant-Lok-Phase-1/011PXX11-XX11-110131163145-L4E7_BZDET?xid=RGVsaGkgR3ltcw==";"1"
121;"The Gym Club";"http://www.justdial.com/Delhi/The-Gym-Club-<near>-Above-Mcdonalds-Gurgaon-Sector-49/011PXX11-XX11-131227114253-S6B6_BZDET?xid=RGVsaGkgR3ltcw==";"1"
122;"Transform Gym";"http://www.justdial.com/Delhi/Transform-Gym-<near>-Near-Gurudwara-And-Croma-Centre-Rajouri-Garden/011PXX11-XX11-110726090736-W6N2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
124;"Deep gym & Personal Trainer";"http://www.justdial.com/Delhi/Deep-gym-Personal-Trainer-<near>-OPP-BIG-TOMB-South-Extension-1/011PXX11-XX11-131015180548-R3P7_BZDET?xid=RGVsaGkgR3ltcw==";"1"
127;"Good Health";"http://www.justdial.com/Delhi/Good-Health-<near>-Near-Shipra-Mall-And-Cisf-Camp-Indirapuram/011PXX11-XX11-090508180252-M1E7_BZDET?xid=RGVsaGkgR3ltcw==";"1"
128;"Three Sixty Degree Gym";"http://www.justdial.com/Delhi/Three-Sixty-Degree-Gym-<near>-Opposite-Jaipuria-School-Vasundhara-Sector-13/011PXX11-XX11-110722135201-S2Z3_BZDET?xid=RGVsaGkgR3ltcw==";"1"
129;"Gakhal Fitness Station Pvt Ltd";"http://www.justdial.com/Delhi/Gakhal-Fitness-Station-Pvt-Ltd-<near>-Opposite-Radisson-Blu-Paschim-Vihar/011PXX11-XX11-141114120507-D6F2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
131;"Ripped";"http://www.justdial.com/Delhi/Ripped-<near>-Chanakya-Puri/011PXX11-XX11-150406221505-F2T9_BZDET?xid=RGVsaGkgR3ltcw==";"1"
